CHAPTER_TYPE,CHAPTER,SECTION,PARAGRAPH,DESCRIPT,BUDGET_YEAR
I,2,4,1,الضريبة على القيمة المضافة على قيمة أجور المخابرات وبدل الاشتراك,2022
I,2,5,1,الضريبة على القيمة المضافة على قيمة الطاقة الكهربائية المستهلكة,2022
I,2,6,1,الضريبة على القيمة المضافة على قيمة المياه المستهلكة,2022
I,2,7,1,ضريبة التحسين,2022
I,2,8,1,عائدات أخرى,2022
I,3,1,1,الحصة العائدة لدعم الموازنة,2022
I,3,2,1,الحصة المخصصة لدعم مشاريع التنمية,2022
I,4,1,1,المساعدات,2022
I,4,2,1,الفوائد,2022
I,4,3,1,القروض,2022
I,4,4,1,الهبات والوصايا,2022
I,4,5,1,الغرامات,2022
I,4,6,1,حاصلات الأملاك المبنية والمشاعات,2022
I,4,7,1,النقد المدور,2022
I,4,9,1,سائر العائدات غير الملحوظة,2022
I,1,1,1,رسم على القيمة التأجيرية (سكن),2023
I,1,2,1,رسم على القيمة التأجيرية (غير سكن),2023
I,1,3,1,رسم صيانة المجارير والأرصفة,2023
I,1,4,1,رسم خاص على تجارة المواد القابلة للإشتعال والإنفجار,2023
I,1,5,1,رسم الترخيص لأماكن الاجتماع وأندية المراهنات,2023
I,1,6,1,رسم الترخيص للإعلان الدائم والمؤقت,2023
I,1,7,1,رسم الترخيص باشغال الأملاك العمومية البلدية,2023
I,1,8,1,رسم الترخيص لمحلات ومحطات توزيع المحروقات السائلة,2023
I,1,9,1,رسم الترخيص للمؤسسات المصنفة,2023
I,1,10,1,رسم الترخيص باحتراف المهن بالتجول,2023
I,1,11,1,رسم الترخيص بالبناء,2023
I,1,12,1,رسم إستعمال الأملاك والمنشآت العامة البلدية,2023
I,1,13,1,رسم إنفاق في وجوه محددة,2023
I,1,14,1,رسم تصوينة,2023
I,1,15,1,رسم الترميم,2023
I,1,16,1,رسم إنشاء مجارير وأرصفة,2023
I,1,17,1,رسم المرآب,2023
I,1,18,1,رسم الإستثمار لأماكن الإجتماع وأندية المراهنات,2023
I,1,19,1,رسم الإستثمار للإعلان الدائم,2023
I,1,20,1,رسم الإستثمار للإعلان المؤقت,2023
I,1,21,1,رسم الإستثمار لاشغال الأملاك العمومية البلدية,2023
I,1,22,1,رسم الإستثمار لمحلات ومحطات المحروقات السائلة,2023
I,1,23,1,رسم الإستثمار للمحركات المستعملة في المؤسسات الصناعية,2023
I,1,24,1,رسم إستثمار على الإعلانات التي تعرض في دور السينما,2023
I,1,25,1,رسم إستثمار اسبوعي للإعلان خارج دور السينما,2023
I,1,26,1,الرسم النسبي على المزايدات,2023
I,1,27,1,رسم على الحيوانات التي تذبح في النطاق البلدي,2023
I,1,28,1,رسم معاينة على اللحوم الطازجة الواردة من خارج النطاق البلدي,2023
I,1,29,1,رسوم وقوف السيارات في الأملاك البلدية العمومية,2023
I,1,30,1,رسوم الدخول إلى الأماكن الأثرية والسياحية,2023
I,1,31,1,رسم تسجيل عقود الإيجار,2023
I,1,32,1,رسوم إعطاء البيانات والإفادات والدروس الفنية,2023
I,1,33,1,واردات ناتجة عن أشغال لحساب الغير,2023
I,1,34,1,الغرامات التي تفرضها المحاكم بسبب مخالفة الأنظمة,2023
I,1,35,1,رسوم وغرامات تسوية مخالفات البناء,2023
I,1,36,1,واردات مباشرة غير ملحوظة,2023
I,1,37,1,غرامات الاعمال غير المنفذة من البناء,2023
I,1,38,1,رسم المرآب السنوي على المؤسسات السياحية,2023
I,2,1,1,علاوة على ضريبة الأملاك المبنية النسبية,2023
I,2,2,1,حصة البلديات من المؤسسة العامة للاسكان,2023
I,2,3,1,رسم نسبي على تذاكر الدخول إلى أندية المراهنات,2023
I,2,4,1,الضريبة على القيمة المضافة على قيمة أجور المخابرات وبدل الاشتراك,2023
I,2,5,1,الضريبة على القيمة المضافة على قيمة الطاقة الكهربائية المستهلكة,2023
I,2,6,1,الضريبة على القيمة المضافة على قيمة المياه المستهلكة,2023
I,2,7,1,ضريبة التحسين,2023
I,2,8,1,عائدات أخرى,2023
I,3,1,1,الحصة العائدة لدعم الموازنة,2023
I,3,2,1,الحصة المخصصة لدعم مشاريع التنمية,2023
I,4,1,1,المساعدات,2023
I,4,2,1,الفوائد,2023
I,4,3,1,القروض,2023
I,4,4,1,الهبات والوصايا,2023
I,4,5,1,الغرامات,2023
I,4,6,1,حاصلات الأملاك المبنية والمشاعات,2023
I,4,7,1,النقد المدور,2023
I,4,9,1,سائر العائدات غير الملحوظة,2023
E,1,1,1,تعويضات الرئاسة,2023
E,1,2,1,رواتب الموظفين,2023
E,1,3,1,بدلات التعاقد,2023
E,1,4,1,أجور الأجراء,2023
E,1,5,1,عائدات الجباية والغرامة,2023
E,1,6,1,المكافآت والتعويضات والتقديمات المختلفة,2023
E,1,7,1,اللوازم,2023
E,1,8,1,الملابس,2023
E,1,9,1,بدلات الإيجار والخدمات المشتركة,2023
E,1,10,1,المخابرات الهاتفية والبريد والبرق,2023
E,1,11,1,نفقات إدارية أخرى,2023
E,2,1,1,التجهيزات,2023
E,2,2,1,صيانة التجهيزات والآليات,2023
E,2,3,1,المفروشات,2023
E,2,4,1,النظافة العامة,2023
E,2,5,1,صيانة المباني,2023
