PAY_TRANS_ID,DOCUMENT_SEQ,TRANSACTION_SEQ,TRANSACTION_DESC,BALADIEH_INT_ID,AMOUNT,ACCOUNT_TYPE,SUB_LEDGER_ID,FEE_TYPE,FEE_DETAIL,FEE_TYPE_ID,FEE_TYPE_DET,PAYMENT_TYPE,TRANS_TYPE,TRANS_NUM,LINE_NUM,CHECK_SEQ,CHECK_NUM,BANK_CODE,CHECK_PAYOR,CHECK_DATE,CHECK_SEQ_ACC
3165,1,2,قبض رسوم - بيان رقم 2007/245 إيصال رقم 6653,165,55000,CREDIT,870.0,DIRECT,FEE,1.0,1.0,,,,,,,,,,
3165,1,3,قبض رسوم - بيان رقم 2007/245 إيصال رقم 6653,165,72000,DEBIT,647.0,,,,,10.0,,,,,,,,,
3166,1,1,قبض رسوم - بيان رقم 2007/588 إيصال رقم 6654,165,14000,CREDIT,872.0,DIRECT,FEE,2.0,0.0,,,,,,,,,,
3166,1,2,قبض رسوم - بيان رقم 2007/588 إيصال رقم 6654,165,45000,CREDIT,870.0,DIRECT,FEE,1.0,1.0,,,,,,,,,,
3166,1,3,قبض رسوم - بيان رقم 2007/588 إيصال رقم 6654,165,59000,DEBIT,647.0,,,,,10.0,,,,,,,,,
3167,1,1,قبض رسوم - بيان رقم 2005/550 إيصال رقم 6655,165,14000,CREDIT,872.0,DIRECT,FEE,2.0,0.0,,,,,,,,,,
3167,1,2,قبض رسوم - بيان رقم 2005/550 إيصال رقم 6655,165,45000,CREDIT,870.0,DIRECT,FEE,1.0,1.0,,,,,,,,,,
3167,1,3,قبض رسوم - بيان رقم 2005/550 إيصال رقم 6655,165,59000,DEBIT,647.0,,,,,10.0,,,,,,,,,
3168,1,1,قبض رسوم - بيان رقم 2005/1758 إيصال رقم 6656,165,14000,CREDIT,872.0,DIRECT,FEE,2.0,0.0,,,,,,,,,,
3168,1,2,قبض رسوم - بيان رقم 2005/1758 إيصال رقم 6656,165,45000,CREDIT,870.0,DIRECT,FEE,1.0,1.0,,,,,,,,,,
3168,1,3,قبض رسوم - بيان رقم 2005/1758 إيصال رقم 6656,165,59000,DEBIT,647.0,,,,,10.0,,,,,,,,,
3169,1,1,قبض رسوم - بيان رقم 2005/566 إيصال رقم 6656,165,14000,CREDIT,872.0,DIRECT,FEE,2.0,0.0,,,,,,,,,,
