CHAPTER_TYPE,CHAPTER,DESCRIPT,BUDGET_YEAR
E,4,نفقات الخدمات والمساعدات,2017
E,5,النفقات المتنوعة,2017
E,6,الاحتياط,2017
I,1,الرسوم التي تستوفيها البلدية بطريقة مباشرة من المكلفين,2017
I,2,الرسوم التي تستوفيها الدولة أو المصالح المستقلة أو المؤسسات العامة أو الخاصة وتؤديها مباشرة إلى البلدية المعنية,2017
I,3,الرسوم التي تستوفيها الدولة لحساب جميع البلديات (عائدات البلدية من الصندوق البلدي المستقل),2017
I,4,العائدات المتنوعة,2017
E,1,النفقات الادارية,2015
E,2,نفقات التجهيزات والصيانة والنظافة العامة,2015
E,3,نفقات المشاريع الانشائية,2015
E,4,نفقات الخدمات والمساعدات,2015
E,5,النفقات المتنوعة,2015
E,6,الاحتياط,2015
I,1,الرسوم التي تستوفيها البلدية بطريقة مباشرة من المكلفين,2015
I,2,الرسوم التي تستوفيها الدولة أو المصالح المستقلة أو المؤسسات العامة أو الخاصة وتؤديها مباشرة إلى البلدية المعنية,2015
I,3,الرسوم التي تستوفيها الدولة لحساب جميع البلديات (عائدات البلدية من الصندوق البلدي المستقل),2015
I,4,العائدات المتنوعة,2015
E,1,النفقات الادارية,2016
E,2,نفقات التجهيزات والصيانة والنظافة العامة,2016
E,3,نفقات المشاريع الانشائية,2016
E,4,نفقات الخدمات والمساعدات,2016
E,5,النفقات المتنوعة,2016
E,6,الاحتياط,2016
I,1,الرسوم التي تستوفيها البلدية بطريقة مباشرة من المكلفين,2016
I,2,الرسوم التي تستوفيها الدولة أو المصالح المستقلة أو المؤسسات العامة أو الخاصة وتؤديها مباشرة إلى البلدية المعنية,2016
I,3,الرسوم التي تستوفيها الدولة لحساب جميع البلديات (عائدات البلدية من الصندوق البلدي المستقل),2016
I,4,العائدات المتنوعة,2016
E,1,النفقات الادارية,2018
E,2,نفقات التجهيزات والصيانة والنظافة العامة,2018
E,3,نفقات المشاريع الانشائية,2018
E,4,نفقات الخدمات والمساعدات,2018
E,5,النفقات المتنوعة,2018
E,6,الاحتياط,2018
I,1,الرسوم التي تستوفيها البلدية بطريقة مباشرة من المكلفين,2018
I,2,الرسوم التي تستوفيها الدولة أو المصالح المستقلة أو المؤسسات العامة أو الخاصة وتؤديها مباشرة إلى البلدية المعنية,2018
I,3,الرسوم التي تستوفيها الدولة لحساب جميع البلديات (عائدات البلدية من الصندوق البلدي المستقل),2018
I,4,العائدات المتنوعة,2018
E,1,النفقات الادارية,2019
E,2,نفقات التجهيزات والصيانة والنظافة العامة,2019
E,3,نفقات المشاريع الانشائية,2019
E,4,نفقات الخدمات والمساعدات,2019
E,5,النفقات المتنوعة,2019
E,6,الاحتياط,2019
E,1,النفقات الادارية,2024
E,2,نفقات التجهيزات والصيانة والنظافة العامة,2024
E,3,نفقات المشاريع الانشائية,2024
E,4,نفقات الخدمات والمساعدات,2024
E,5,النفقات المتنوعة,2024
E,6,الاحتياط,2024
I,1,الرسوم التي تستوفيها البلدية بطريقة مباشرة من المكلفين,2024
I,2,الرسوم التي تستوفيها الدولة أو المصالح المستقلة أو المؤسسات العامة أو الخاصة وتؤديها مباشرة إلى البلدية المعنية,2024
I,3,الرسوم التي تستوفيها الدولة لحساب جميع البلديات (عائدات البلدية من الصندوق البلدي المستقل),2024
I,4,العائدات المتنوعة,2024
E,1,النفقات الادارية,2025
E,2,نفقات التجهيزات والصيانة والنظافة العامة,2025
E,3,نفقات المشاريع الانشائية,2025
E,4,نفقات الخدمات والمساعدات,2025
E,5,النفقات المتنوعة,2025
E,6,الاحتياط,2025
I,1,الرسوم التي تستوفيها البلدية بطريقة مباشرة من المكلفين,2025
I,2,الرسوم التي تستوفيها الدولة أو المصالح المستقلة أو المؤسسات العامة أو الخاصة وتؤديها مباشرة إلى البلدية المعنية,2025
I,3,الرسوم التي تستوفيها الدولة لحساب جميع البلديات (عائدات البلدية من الصندوق البلدي المستقل),2025
I,4,العائدات المتنوعة,2025
