CHAPTER_TYPE,CHAPTER,SECTION,DESCRIPT,BUDGET_YEAR
E,4,4,المساهمة في النشاطات الثقافية,2023
E,4,5,المساهمة في النشاطات التربوية,2023
E,4,6,المساهمة في النشاطات الرياضية,2023
E,4,7,المساهمة في النشاطات الاجتماعية,2023
E,4,8,المنح والجوائز المدرسية,2023
E,4,9,مساعدة المدارس,2023
E,4,10,مساعدة المكتبات,2023
E,4,11,مساعدة الهيئات التي لا تتوخّى الربح,2023
E,4,12,مساهمات إلى القطاع العام,2023
E,5,1,الاستقبالات,2023
E,5,2,الاحتفالات والمهرجانات,2023
E,5,4,المساهمة في موازنة اتحاد البلديات,2023
E,5,5,رديات,2023
E,5,6,نفقات التأمين,2023
E,5,7,إيفاء القروض,2023
E,5,9,المصاريف الأخرى غير الملحوظة,2023
E,6,1,احتياط الموازنة,2023
I,1,19,رسم الإستثمار للإعلان الدائم,2022
I,1,20,رسم الإستثمار للإعلان المؤقت,2022
I,1,25,رسم إستثمار اسبوعي للإعلان خارج دور السينما,2022
I,1,26,الرسم النسبي على المزايدات,2022
I,1,30,رسوم الدخول إلى الأماكن الأثرية والسياحية,2022
I,1,31,رسم تسجيل عقود الإيجار,2022
I,1,33,واردات ناتجة عن أشغال لحساب الغير,2022
I,1,35,رسوم وغرامات تسوية مخالفات البناء,2022
I,1,36,واردات مباشرة غير ملحوظة,2022
I,1,37,غرامات الاعمال غير المنفذة من البناء,2022
I,1,38,رسم المرآب السنوي على المؤسسات السياحية,2022
I,2,1,علاوة على ضريبة الأملاك المبنية النسبية,2022
I,2,2,حصة البلديات من المؤسسة العامة للاسكان,2022
I,2,7,ضريبة التحسين,2022
I,2,8,عائدات أخرى,2022
I,3,1,الحصة العائدة لدعم الموازنة,2022
I,3,2,الحصة المخصصة لدعم مشاريع التنمية,2022
I,4,1,المساعدات,2022
I,4,2,الفوائد,2022
I,4,3,القروض,2022
I,4,4,الهبات والوصايا,2022
I,4,5,الغرامات,2022
I,4,6,حاصلات الأملاك المبنية والمشاعات,2022
I,4,7,النقد المدور,2022
I,4,9,سائر العائدات غير الملحوظة,2022
E,1,1,تعويضات الرئاسة,2026
E,1,2,رواتب الموظفين,2026
E,1,3,بدلات التعاقد,2026
E,1,4,أجور الأجراء,2026
E,1,5,عائدات الجباية والغرامة,2026
E,1,6,المكافآت والتعويضات والتقديمات المختلفة,2026
E,1,7,اللوازم,2026
E,1,8,الملابس,2026
E,4,8,المنح والجوائز المدرسية,2005
E,4,9,مساعدة المدارس,2005
I,1,17,رسم المرآب,2005
I,1,25,رسم إستثمار اسبوعي للإعلان خارج دور السينما,2004
I,1,26,الرسم النسبي على المزايدات,2004
I,1,30,رسوم الدخول إلى الأماكن الأثرية والسياحية,2004
I,1,31,رسم تسجيل عقود الإيجار,2004
I,1,33,واردات ناتجة عن أشغال لحساب الغير,2004
I,1,35,رسوم وغرامات تسوية مخالفات البناء,2004
I,1,36,واردات مباشرة غير ملحوظة,2004
I,2,1,علاوة على ضريبة الأملاك المبنية النسبية,2004
I,2,2,حصة البلديات من المؤسسة العامة للاسكان,2004
I,2,4,علاوة على قيمة أجور المخابرات وبدل الاشتراك,2004
I,2,5,علاوة على قيمة الطاقة الكهربائية المستهلكة,2004
I,2,6,علاوة على قيمة المياه المستهلكة,2004
I,2,7,ضريبة التحسين,2004
I,2,8,عائدات أخرى,2004
I,3,1,الحصة العائدة لدعم الموازنة,2004
I,3,2,الحصة المخصصة لدعم مشاريع التنمية,2004
I,4,1,المساعدات,2004
I,4,2,الفوائد,2004
I,4,3,القروض,2004
I,4,4,الهبات والوصايا,2004
I,4,5,الغرامات,2004
I,4,6,حاصلات الأملاك المبنية والمشاعات,2004
I,4,7,النقد المدور,2004
I,4,9,سائر العائدات غير الملحوظة,2004
E,1,1,تعويضات الرئاسة,2006
E,1,2,رواتب الموظفين,2006
E,1,3,بدلات التعاقد,2006
E,1,4,أجور الأجراء,2006
E,1,5,عائدات الجباية والغرامة,2006
E,1,6,المكافآت والتعويضات والتقديمات المختلفة,2006
E,1,7,اللوازم,2006
E,1,8,الملابس,2006
E,1,9,بدلات الإيجار والخدمات المشتركة,2006
E,1,10,المخابرات الهاتفية والبريد والبرق,2006
E,1,11,نفقات إدارية أخرى,2006
E,2,1,التجهيزات,2006
E,2,2,صيانة التجهيزات والآليات,2006
E,2,3,المفروشات,2006
E,2,4,النظافة العامة,2006
E,2,5,صيانة المباني,2006
E,2,6,شراء الآليات,2006
E,2,7,مكافحة الحشرات,2006
E,2,8,لوازم التنظيفات,2006
E,2,9,المحروقات,2006
E,2,10,أجور النقل والانتقال,2006
E,2,11,أجور العمّال اليوميين,2006
E,2,12,بدلات استهلاك الكهرباء,2006
E,2,13,بدلات اشتراك المياه,2006
E,2,14,صيانة الطرق العامة,2006
E,2,15,صيانة شبكات المياه,2006
E,2,16,صيانة شبكات الإنارة العامة,2006
E,3,1,إنشاء المباني,2006
E,3,2,إنشاء شبكات الإنارة العامة,2006
E,3,3,إنشاء شبكات المياه,2006
E,3,4,إنشاء شبكات المجارير,2006
E,3,5,إنشاء الطرق العامة والأرصفة والأقنية,2006
E,3,6,إنشاء الحدائق,2006
E,3,7,إنشاء الملاعب والمسابح,2006
E,3,8,إنشاءات أخرى,2006
E,3,9,نفقات الدروس,2006
E,3,10,تعويضات الإستملاك,2006
E,3,11,شراء الأبنية,2006
E,3,12,شراء العقارات,2006
E,4,1,التخصيصات الصحية,2006
E,4,2,مساعدة المعوزين,2006
E,4,3,مساعدة الأوقاف الخيرية,2006
E,4,4,المساهمة في النشاطات الثقافية,2006
E,4,5,المساهمة في النشاطات التربوية,2006
E,4,6,المساهمة في النشاطات الرياضية,2006
E,4,7,المساهمة في النشاطات الاجتماعية,2006
E,4,8,المنح والجوائز المدرسية,2006
E,4,9,مساعدة المدارس,2006
E,4,10,مساعدة المكتبات,2006
E,4,11,مساعدة الهيئات التي لا تتوخّى الربح,2006
E,4,12,مساهمات إلى القطاع العام,2006
E,5,1,الاستقبالات,2006
E,5,2,الاحتفالات والمهرجانات,2006
E,5,4,المساهمة في موازنة اتحاد البلديات,2006
E,5,5,رديات,2006
E,5,6,نفقات التأمين,2006
E,5,7,إيفاء القروض,2006
E,5,9,المصاريف الأخرى غير الملحوظة,2006
E,6,1,احتياط الموازنة,2006
I,1,1,رسم على القيمة التأجيرية (سكن),2006
I,1,2,رسم على القيمة التأجيرية (غير سكن),2006
I,1,3,رسم صيانة المجارير والأرصفة,2006
I,1,6,رسم الترخيص للإعلان الدائم والمؤقت,2006
I,1,9,رسم الترخيص للمؤسسات المصنفة,2006
I,1,10,رسم الترخيص باحتراف المهن بالتجول,2006
I,1,11,رسم الترخيص بالبناء,2006
I,1,13,رسم إنفاق في وجوه محددة,2006
I,1,14,رسم تصوينة,2006
I,1,15,رسم الترميم,2006
I,1,16,رسم إنشاء مجارير وأرصفة,2006
I,1,17,رسم المرآب,2006
I,1,19,رسم الإستثمار للإعلان الدائم,2006
I,1,20,رسم الإستثمار للإعلان المؤقت,2006
I,1,25,رسم إستثمار اسبوعي للإعلان خارج دور السينما,2006
I,1,26,الرسم النسبي على المزايدات,2006
I,1,30,رسوم الدخول إلى الأماكن الأثرية والسياحية,2006
I,1,31,رسم تسجيل عقود الإيجار,2006
I,1,33,واردات ناتجة عن أشغال لحساب الغير,2006
I,1,35,رسوم وغرامات تسوية مخالفات البناء,2006
I,1,36,واردات مباشرة غير ملحوظة,2006
I,2,1,علاوة على ضريبة الأملاك المبنية النسبية,2006
I,2,2,حصة البلديات من المؤسسة العامة للاسكان,2006
I,2,4,علاوة على قيمة أجور المخابرات وبدل الاشتراك,2006
I,2,5,علاوة على قيمة الطاقة الكهربائية المستهلكة,2006
I,2,6,علاوة على قيمة المياه المستهلكة,2006
I,2,7,ضريبة التحسين,2006
I,2,8,عائدات أخرى,2006
I,3,1,الحصة العائدة لدعم الموازنة,2006
I,3,2,الحصة المخصصة لدعم مشاريع التنمية,2006
I,4,1,المساعدات,2006
E,4,10,مساعدة المكتبات,2005
E,4,11,مساعدة الهيئات التي لا تتوخّى الربح,2005
E,5,1,الاستقبالات,2005
E,1,9,بدلات الإيجار والخدمات المشتركة,2026
E,1,10,المخابرات الهاتفية والبريد والبرق,2026
E,1,11,نفقات إدارية أخرى,2026
E,2,1,التجهيزات,2026
E,2,2,صيانة التجهيزات والآليات,2026
E,2,3,المفروشات,2026
E,2,4,النظافة العامة,2026
E,2,5,صيانة المباني,2026
E,2,6,شراء الآليات,2026
E,2,7,مكافحة الحشرات,2026
E,2,8,لوازم التنظيفات,2026
E,2,9,المحروقات,2026
E,2,10,أجور النقل والانتقال,2026
E,2,11,أجور العمّال اليوميين,2026
E,2,12,بدلات استهلاك الكهرباء,2026
E,2,13,بدلات اشتراك المياه,2026
E,2,14,صيانة الطرق العامة,2026
E,2,15,صيانة شبكات المياه,2026
E,2,16,صيانة شبكات الإنارة العامة,2026
E,3,1,إنشاء المباني,2026
E,3,2,إنشاء شبكات الإنارة العامة,2026
E,3,3,إنشاء شبكات المياه,2026
E,3,4,إنشاء شبكات المجارير,2026
E,3,5,إنشاء الطرق العامة والأرصفة والأقنية,2026
E,3,6,إنشاء الحدائق,2026
E,3,7,إنشاء الملاعب والمسابح,2026
E,3,8,إنشاءات أخرى,2026
E,3,9,نفقات الدروس,2026
E,3,10,تعويضات الإستملاك,2026
E,3,11,شراء الأبنية,2026
E,3,12,شراء العقارات,2026
E,4,1,التخصيصات الصحية,2026
E,4,2,مساعدة المعوزين,2026
E,4,3,مساعدة الأوقاف الخيرية,2026
E,4,4,المساهمة في النشاطات الثقافية,2026
E,4,5,المساهمة في النشاطات التربوية,2026
E,4,6,المساهمة في النشاطات الرياضية,2026
E,4,7,المساهمة في النشاطات الاجتماعية,2026
E,4,8,المنح والجوائز المدرسية,2026
E,4,9,مساعدة المدارس,2026
E,4,10,مساعدة المكتبات,2026
