CHAPTER_TYPE,CHAPTER,SECTION,DESCRIPT,BUDGET_YEAR
E,2,14,صيانة الطرق العامة,2020
E,2,15,صيانة شبكات المياه,2020
E,2,16,صيانة شبكات الإنارة العامة,2020
E,3,1,إنشاء المباني,2020
E,3,2,إنشاء شبكات الإنارة العامة,2020
E,3,3,إنشاء شبكات المياه,2020
E,3,4,إنشاء شبكات المجارير,2020
E,3,5,إنشاء الطرق العامة والأرصفة والأقنية,2020
E,3,6,إنشاء الحدائق,2020
E,3,7,إنشاء الملاعب والمسابح,2020
E,3,8,إنشاءات أخرى,2020
E,3,9,نفقات الدروس,2020
E,3,10,تعويضات الإستملاك,2020
E,3,11,شراء الأبنية,2020
E,3,12,شراء العقارات,2020
E,4,1,التخصيصات الصحية,2020
E,4,2,مساعدة المعوزين,2020
E,4,3,مساعدة الأوقاف الخيرية,2020
E,4,4,المساهمة في النشاطات الثقافية,2020
E,4,5,المساهمة في النشاطات التربوية,2020
E,4,6,المساهمة في النشاطات الرياضية,2020
E,4,7,المساهمة في النشاطات الاجتماعية,2020
E,4,8,المنح والجوائز المدرسية,2020
E,4,9,مساعدة المدارس,2020
E,4,10,مساعدة المكتبات,2020
E,4,11,مساعدة الهيئات التي لا تتوخّى الربح,2020
E,4,12,مساهمات إلى القطاع العام,2020
E,5,1,الاستقبالات,2020
E,5,2,الاحتفالات والمهرجانات,2020
E,5,4,المساهمة في موازنة اتحاد البلديات,2020
E,5,5,رديات,2020
E,5,6,نفقات التأمين,2020
E,5,7,إيفاء القروض,2020
E,5,9,المصاريف الأخرى غير الملحوظة,2020
E,6,1,احتياط الموازنة,2020
I,1,1,رسم على القيمة التأجيرية (سكن),2020
I,1,2,رسم على القيمة التأجيرية (غير سكن),2020
I,1,3,رسم صيانة المجارير والأرصفة,2020
I,1,6,رسم الترخيص للإعلان الدائم والمؤقت,2020
I,1,9,رسم الترخيص للمؤسسات المصنفة,2020
I,1,10,رسم الترخيص باحتراف المهن بالتجول,2020
I,1,11,رسم الترخيص بالبناء,2020
I,1,13,رسم إنفاق في وجوه محددة,2020
I,1,14,رسم تصوينة,2020
I,1,15,رسم الترميم,2020
I,1,16,رسم إنشاء مجارير وأرصفة,2020
I,1,17,رسم المرآب,2020
I,1,19,رسم الإستثمار للإعلان الدائم,2020
I,1,20,رسم الإستثمار للإعلان المؤقت,2020
I,1,25,رسم إستثمار اسبوعي للإعلان خارج دور السينما,2020
I,1,26,الرسم النسبي على المزايدات,2020
I,1,30,رسوم الدخول إلى الأماكن الأثرية والسياحية,2020
I,1,31,رسم تسجيل عقود الإيجار,2020
I,1,33,واردات ناتجة عن أشغال لحساب الغير,2020
I,1,35,رسوم وغرامات تسوية مخالفات البناء,2020
I,1,36,واردات مباشرة غير ملحوظة,2020
I,1,37,غرامات الاعمال غير المنفذة من البناء,2020
I,1,38,رسم المرآب السنوي على المؤسسات السياحية,2020
I,2,1,علاوة على ضريبة الأملاك المبنية النسبية,2020
I,2,2,حصة البلديات من المؤسسة العامة للاسكان,2020
I,2,7,ضريبة التحسين,2020
I,2,8,عائدات أخرى,2020
I,3,1,الحصة العائدة لدعم الموازنة,2020
I,3,2,الحصة المخصصة لدعم مشاريع التنمية,2020
I,4,1,المساعدات,2020
I,4,2,الفوائد,2020
I,4,3,القروض,2020
I,4,4,الهبات والوصايا,2020
I,4,5,الغرامات,2020
I,4,6,حاصلات الأملاك المبنية والمشاعات,2020
I,4,7,النقد المدور,2020
I,4,9,سائر العائدات غير الملحوظة,2020
E,1,1,تعويضات الرئاسة,2021
E,1,2,رواتب الموظفين,2021
E,1,3,بدلات التعاقد,2021
E,1,4,أجور الأجراء,2021
E,1,5,عائدات الجباية والغرامة,2021
E,1,6,المكافآت والتعويضات والتقديمات المختلفة,2021
E,1,7,اللوازم,2021
E,1,8,الملابس,2021
E,1,9,بدلات الإيجار والخدمات المشتركة,2021
E,1,10,المخابرات الهاتفية والبريد والبرق,2021
E,1,11,نفقات إدارية أخرى,2021
E,2,1,التجهيزات,2021
E,2,2,صيانة التجهيزات والآليات,2021
E,2,3,المفروشات,2021
E,2,4,النظافة العامة,2021
E,2,5,صيانة المباني,2021
E,2,6,شراء الآليات,2021
E,2,7,مكافحة الحشرات,2021
E,2,8,لوازم التنظيفات,2021
E,2,9,المحروقات,2021
E,2,10,أجور النقل والانتقال,2021
E,2,11,أجور العمّال اليوميين,2021
E,2,12,بدلات استهلاك الكهرباء,2021
E,2,13,بدلات اشتراك المياه,2021
E,2,14,صيانة الطرق العامة,2021
E,2,15,صيانة شبكات المياه,2021
E,1,2,رواتب الموظفين,2015
E,1,4,أجور الأجراء,2012
E,1,5,عائدات الجباية والغرامة,2012
E,1,6,المكافآت والتعويضات والتقديمات المختلفة,2012
E,1,7,اللوازم,2012
E,1,8,الملابس,2012
E,1,9,بدلات الإيجار والخدمات المشتركة,2012
E,1,10,المخابرات الهاتفية والبريد والبرق,2012
E,1,11,نفقات إدارية أخرى,2012
E,2,1,التجهيزات,2012
E,2,2,صيانة التجهيزات والآليات,2012
E,2,3,المفروشات,2012
E,2,4,النظافة العامة,2012
E,2,5,صيانة المباني,2012
E,2,6,شراء الآليات,2012
E,2,7,مكافحة الحشرات,2012
E,2,8,لوازم التنظيفات,2012
E,2,9,المحروقات,2012
E,2,10,أجور النقل والانتقال,2012
E,2,11,أجور العمّال اليوميين,2012
E,2,12,بدلات استهلاك الكهرباء,2012
E,2,13,بدلات اشتراك المياه,2012
E,2,14,صيانة الطرق العامة,2012
E,2,15,صيانة شبكات المياه,2012
E,2,16,صيانة شبكات الإنارة العامة,2012
E,3,1,إنشاء المباني,2012
E,3,2,إنشاء شبكات الإنارة العامة,2012
E,3,3,إنشاء شبكات المياه,2012
E,3,4,إنشاء شبكات المجارير,2012
E,3,5,إنشاء الطرق العامة والأرصفة والأقنية,2012
E,3,6,إنشاء الحدائق,2012
E,3,7,إنشاء الملاعب والمسابح,2012
E,3,8,إنشاءات أخرى,2012
E,3,9,نفقات الدروس,2012
E,3,10,تعويضات الإستملاك,2012
E,3,11,شراء الأبنية,2012
E,3,12,شراء العقارات,2012
E,4,1,التخصيصات الصحية,2012
E,4,2,مساعدة المعوزين,2012
E,4,3,مساعدة الأوقاف الخيرية,2012
E,4,4,المساهمة في النشاطات الثقافية,2012
E,4,5,المساهمة في النشاطات التربوية,2012
E,4,6,المساهمة في النشاطات الرياضية,2012
E,4,7,المساهمة في النشاطات الاجتماعية,2012
E,4,8,المنح والجوائز المدرسية,2012
E,4,9,مساعدة المدارس,2012
E,4,10,مساعدة المكتبات,2012
E,4,11,مساعدة الهيئات التي لا تتوخّى الربح,2012
E,4,12,مساهمات إلى القطاع العام,2012
E,5,1,الاستقبالات,2012
E,5,2,الاحتفالات والمهرجانات,2012
E,5,4,المساهمة في موازنة اتحاد البلديات,2012
E,5,5,رديات,2012
E,5,6,نفقات التأمين,2012
E,5,7,إيفاء القروض,2012
E,5,9,المصاريف الأخرى غير الملحوظة,2012
E,6,1,احتياط الموازنة,2012
I,1,1,رسم على القيمة التأجيرية (سكن),2012
I,1,2,رسم على القيمة التأجيرية (غير سكن),2012
I,1,3,رسم صيانة المجارير والأرصفة,2012
I,1,6,رسم الترخيص للإعلان الدائم والمؤقت,2012
I,1,9,رسم الترخيص للمؤسسات المصنفة,2012
I,1,10,رسم الترخيص باحتراف المهن بالتجول,2012
I,1,11,رسم الترخيص بالبناء,2012
I,1,13,رسم إنفاق في وجوه محددة,2012
I,1,14,رسم تصوينة,2012
I,1,15,رسم الترميم,2012
I,1,16,رسم إنشاء مجارير وأرصفة,2012
I,1,17,رسم المرآب,2012
I,1,19,رسم الإستثمار للإعلان الدائم,2012
I,1,20,رسم الإستثمار للإعلان المؤقت,2012
I,1,25,رسم إستثمار اسبوعي للإعلان خارج دور السينما,2012
I,1,26,الرسم النسبي على المزايدات,2012
I,1,30,رسوم الدخول إلى الأماكن الأثرية والسياحية,2012
I,1,31,رسم تسجيل عقود الإيجار,2012
I,1,33,واردات ناتجة عن أشغال لحساب الغير,2012
I,1,35,رسوم وغرامات تسوية مخالفات البناء,2012
I,1,36,واردات مباشرة غير ملحوظة,2012
I,1,37,غرامات الاعمال غير المنفذة من البناء,2012
I,1,38,رسم المرآب السنوي على المؤسسات السياحية,2012
I,2,1,علاوة على ضريبة الأملاك المبنية النسبية,2012
I,2,2,حصة البلديات من المؤسسة العامة للاسكان,2012
I,2,7,ضريبة التحسين,2012
I,2,8,عائدات أخرى,2012
I,3,1,الحصة العائدة لدعم الموازنة,2012
I,3,2,الحصة المخصصة لدعم مشاريع التنمية,2012
I,4,1,المساعدات,2012
I,4,2,الفوائد,2012
I,4,3,القروض,2012
I,4,4,الهبات والوصايا,2012
I,4,5,الغرامات,2012
I,4,6,حاصلات الأملاك المبنية والمشاعات,2012
I,4,7,النقد المدور,2012
I,4,9,سائر العائدات غير الملحوظة,2012
E,1,1,تعويضات الرئاسة,2014
E,1,2,رواتب الموظفين,2014
E,1,3,بدلات التعاقد,2014
E,1,4,أجور الأجراء,2014
E,1,5,عائدات الجباية والغرامة,2014
E,1,6,المكافآت والتعويضات والتقديمات المختلفة,2014
E,1,7,اللوازم,2014
E,1,8,الملابس,2014
E,1,9,بدلات الإيجار والخدمات المشتركة,2014
E,1,10,المخابرات الهاتفية والبريد والبرق,2014
E,1,11,نفقات إدارية أخرى,2014
E,2,1,التجهيزات,2014
E,2,2,صيانة التجهيزات والآليات,2014
E,2,3,المفروشات,2014
E,2,4,النظافة العامة,2014
E,2,5,صيانة المباني,2014
E,2,6,شراء الآليات,2014
E,2,7,مكافحة الحشرات,2014
E,2,8,لوازم التنظيفات,2014
E,2,9,المحروقات,2014
E,2,10,أجور النقل والانتقال,2014
E,2,11,أجور العمّال اليوميين,2014
E,2,12,بدلات استهلاك الكهرباء,2014
E,2,13,بدلات اشتراك المياه,2014
E,2,14,صيانة الطرق العامة,2014
E,2,15,صيانة شبكات المياه,2014
E,2,16,صيانة شبكات الإنارة العامة,2014
E,3,1,إنشاء المباني,2014
E,3,2,إنشاء شبكات الإنارة العامة,2014
E,3,3,إنشاء شبكات المياه,2014
E,3,4,إنشاء شبكات المجارير,2014
E,3,5,إنشاء الطرق العامة والأرصفة والأقنية,2014
E,3,6,إنشاء الحدائق,2014
E,3,7,إنشاء الملاعب والمسابح,2014
E,3,8,إنشاءات أخرى,2014
E,3,9,نفقات الدروس,2014
E,3,10,تعويضات الإستملاك,2014
E,3,11,شراء الأبنية,2014
E,3,12,شراء العقارات,2014
E,4,1,التخصيصات الصحية,2014
E,4,2,مساعدة المعوزين,2014
E,4,3,مساعدة الأوقاف الخيرية,2014
E,4,4,المساهمة في النشاطات الثقافية,2014
E,4,5,المساهمة في النشاطات التربوية,2014
E,4,6,المساهمة في النشاطات الرياضية,2014
E,4,7,المساهمة في النشاطات الاجتماعية,2014
E,4,8,المنح والجوائز المدرسية,2014
E,4,9,مساعدة المدارس,2014
E,4,10,مساعدة المكتبات,2014
E,4,11,مساعدة الهيئات التي لا تتوخّى الربح,2014
E,4,12,مساهمات إلى القطاع العام,2014
E,5,1,الاستقبالات,2014
E,5,2,الاحتفالات والمهرجانات,2014
E,5,4,المساهمة في موازنة اتحاد البلديات,2014
E,5,5,رديات,2014
E,5,6,نفقات التأمين,2014
E,5,7,إيفاء القروض,2014
E,3,5,إنشاء الطرق العامة والأرصفة والأقنية,2011
E,3,6,إنشاء الحدائق,2011
E,1,3,بدلات التعاقد,2015
E,1,4,أجور الأجراء,2015
E,1,5,عائدات الجباية والغرامة,2015
E,1,6,المكافآت والتعويضات والتقديمات المختلفة,2015
E,1,7,اللوازم,2015
E,1,8,الملابس,2015
E,1,9,بدلات الإيجار والخدمات المشتركة,2015
E,1,10,المخابرات الهاتفية والبريد والبرق,2015
E,1,11,نفقات إدارية أخرى,2015
E,2,1,التجهيزات,2015
E,2,2,صيانة التجهيزات والآليات,2015
E,2,3,المفروشات,2015
E,2,4,النظافة العامة,2015
E,2,5,صيانة المباني,2015
E,2,6,شراء الآليات,2015
E,2,7,مكافحة الحشرات,2015
E,2,8,لوازم التنظيفات,2015
E,2,9,المحروقات,2015
E,2,10,أجور النقل والانتقال,2015
E,2,11,أجور العمّال اليوميين,2015
E,2,12,بدلات استهلاك الكهرباء,2015
E,2,13,بدلات اشتراك المياه,2015
E,2,14,صيانة الطرق العامة,2015
E,2,15,صيانة شبكات المياه,2015
E,2,16,صيانة شبكات الإنارة العامة,2015
E,3,1,إنشاء المباني,2015
E,3,2,إنشاء شبكات الإنارة العامة,2015
E,3,3,إنشاء شبكات المياه,2015
E,3,4,إنشاء شبكات المجارير,2015
E,3,5,إنشاء الطرق العامة والأرصفة والأقنية,2015
E,3,6,إنشاء الحدائق,2015
E,3,7,إنشاء الملاعب والمسابح,2015
E,3,8,إنشاءات أخرى,2015
E,3,9,نفقات الدروس,2015
E,3,10,تعويضات الإستملاك,2015
E,3,11,شراء الأبنية,2015
E,3,12,شراء العقارات,2015
E,4,1,التخصيصات الصحية,2015
E,4,2,مساعدة المعوزين,2015
E,4,3,مساعدة الأوقاف الخيرية,2015
E,4,4,المساهمة في النشاطات الثقافية,2015
E,4,5,المساهمة في النشاطات التربوية,2015
E,4,6,المساهمة في النشاطات الرياضية,2015
E,4,7,المساهمة في النشاطات الاجتماعية,2015
E,4,8,المنح والجوائز المدرسية,2015
E,4,9,مساعدة المدارس,2015
E,4,10,مساعدة المكتبات,2015
E,4,11,مساعدة الهيئات التي لا تتوخّى الربح,2015
E,4,12,مساهمات إلى القطاع العام,2015
E,5,1,الاستقبالات,2015
E,5,2,الاحتفالات والمهرجانات,2015
E,5,4,المساهمة في موازنة اتحاد البلديات,2015
E,5,5,رديات,2015
E,5,6,نفقات التأمين,2015
E,5,7,إيفاء القروض,2015
E,5,9,المصاريف الأخرى غير الملحوظة,2015
E,6,1,احتياط الموازنة,2015
I,1,1,رسم على القيمة التأجيرية (سكن),2015
I,1,2,رسم على القيمة التأجيرية (غير سكن),2015
I,1,3,رسم صيانة المجارير والأرصفة,2015
I,1,6,رسم الترخيص للإعلان الدائم والمؤقت,2015
I,1,9,رسم الترخيص للمؤسسات المصنفة,2015
I,1,10,رسم الترخيص باحتراف المهن بالتجول,2015
I,1,11,رسم الترخيص بالبناء,2015
I,1,13,رسم إنفاق في وجوه محددة,2015
I,1,14,رسم تصوينة,2015
I,1,15,رسم الترميم,2015
I,1,16,رسم إنشاء مجارير وأرصفة,2015
I,1,17,رسم المرآب,2015
I,1,19,رسم الإستثمار للإعلان الدائم,2015
I,1,20,رسم الإستثمار للإعلان المؤقت,2015
I,1,25,رسم إستثمار اسبوعي للإعلان خارج دور السينما,2015
I,1,26,الرسم النسبي على المزايدات,2015
I,1,30,رسوم الدخول إلى الأماكن الأثرية والسياحية,2015
I,1,31,رسم تسجيل عقود الإيجار,2015
I,1,33,واردات ناتجة عن أشغال لحساب الغير,2015
I,1,35,رسوم وغرامات تسوية مخالفات البناء,2015
I,1,36,واردات مباشرة غير ملحوظة,2015
I,1,37,غرامات الاعمال غير المنفذة من البناء,2015
I,1,38,رسم المرآب السنوي على المؤسسات السياحية,2015
I,2,1,علاوة على ضريبة الأملاك المبنية النسبية,2015
I,2,2,حصة البلديات من المؤسسة العامة للاسكان,2015
I,2,7,ضريبة التحسين,2015
I,2,8,عائدات أخرى,2015
I,3,1,الحصة العائدة لدعم الموازنة,2015
I,3,2,الحصة المخصصة لدعم مشاريع التنمية,2015
I,4,1,المساعدات,2015
I,4,2,الفوائد,2015
I,4,3,القروض,2015
I,4,4,الهبات والوصايا,2015
I,4,5,الغرامات,2015
I,4,6,حاصلات الأملاك المبنية والمشاعات,2015
I,4,7,النقد المدور,2015
I,4,9,سائر العائدات غير الملحوظة,2015
E,1,1,تعويضات الرئاسة,2016
E,1,2,رواتب الموظفين,2016
E,1,3,بدلات التعاقد,2016
E,1,4,أجور الأجراء,2016
E,1,5,عائدات الجباية والغرامة,2016
E,1,6,المكافآت والتعويضات والتقديمات المختلفة,2016
E,1,7,اللوازم,2016
E,1,8,الملابس,2016
E,1,9,بدلات الإيجار والخدمات المشتركة,2016
E,1,10,المخابرات الهاتفية والبريد والبرق,2016
E,1,11,نفقات إدارية أخرى,2016
E,2,1,التجهيزات,2016
E,2,2,صيانة التجهيزات والآليات,2016
E,2,3,المفروشات,2016
E,2,4,النظافة العامة,2016
E,2,5,صيانة المباني,2016
E,2,6,شراء الآليات,2016
E,2,7,مكافحة الحشرات,2016
E,2,8,لوازم التنظيفات,2016
E,2,9,المحروقات,2016
E,2,10,أجور النقل والانتقال,2016
E,2,11,أجور العمّال اليوميين,2016
E,2,12,بدلات استهلاك الكهرباء,2016
E,2,13,بدلات اشتراك المياه,2016
E,2,14,صيانة الطرق العامة,2016
E,2,15,صيانة شبكات المياه,2016
E,2,16,صيانة شبكات الإنارة العامة,2016
E,3,1,إنشاء المباني,2016
E,3,2,إنشاء شبكات الإنارة العامة,2016
E,3,3,إنشاء شبكات المياه,2016
E,3,4,إنشاء شبكات المجارير,2016
E,3,5,إنشاء الطرق العامة والأرصفة والأقنية,2016
E,3,6,إنشاء الحدائق,2016
E,3,7,إنشاء الملاعب والمسابح,2016
E,3,8,إنشاءات أخرى,2016
E,3,9,نفقات الدروس,2016
E,3,10,تعويضات الإستملاك,2016
E,3,11,شراء الأبنية,2016
E,3,12,شراء العقارات,2016
E,4,1,التخصيصات الصحية,2016
E,4,2,مساعدة المعوزين,2016
E,4,3,مساعدة الأوقاف الخيرية,2016
E,4,4,المساهمة في النشاطات الثقافية,2016
E,4,5,المساهمة في النشاطات التربوية,2016
E,4,6,المساهمة في النشاطات الرياضية,2016
E,4,7,المساهمة في النشاطات الاجتماعية,2016
E,4,8,المنح والجوائز المدرسية,2016
E,4,9,مساعدة المدارس,2016
E,4,10,مساعدة المكتبات,2016
E,4,11,مساعدة الهيئات التي لا تتوخّى الربح,2016
E,4,12,مساهمات إلى القطاع العام,2016
E,5,1,الاستقبالات,2016
E,5,2,الاحتفالات والمهرجانات,2016
E,5,4,المساهمة في موازنة اتحاد البلديات,2016
E,5,5,رديات,2016
E,5,6,نفقات التأمين,2016
E,5,7,إيفاء القروض,2016
E,1,1,تعويضات الرئاسة,2012
E,2,16,صيانة شبكات الإنارة العامة,2021
E,3,1,إنشاء المباني,2021
E,3,2,إنشاء شبكات الإنارة العامة,2021
E,3,3,إنشاء شبكات المياه,2021
E,3,4,إنشاء شبكات المجارير,2021
E,3,5,إنشاء الطرق العامة والأرصفة والأقنية,2021
E,3,6,إنشاء الحدائق,2021
E,3,7,إنشاء الملاعب والمسابح,2021
E,3,8,إنشاءات أخرى,2021
E,3,9,نفقات الدروس,2021
E,3,10,تعويضات الإستملاك,2021
E,3,11,شراء الأبنية,2021
E,3,12,شراء العقارات,2021
E,4,1,التخصيصات الصحية,2021
E,4,2,مساعدة المعوزين,2021
E,4,3,مساعدة الأوقاف الخيرية,2021
E,4,4,المساهمة في النشاطات الثقافية,2021
E,4,5,المساهمة في النشاطات التربوية,2021
E,4,6,المساهمة في النشاطات الرياضية,2021
E,4,7,المساهمة في النشاطات الاجتماعية,2021
E,4,8,المنح والجوائز المدرسية,2021
E,4,9,مساعدة المدارس,2021
E,4,10,مساعدة المكتبات,2021
E,4,11,مساعدة الهيئات التي لا تتوخّى الربح,2021
E,4,12,مساهمات إلى القطاع العام,2021
E,5,1,الاستقبالات,2021
E,5,2,الاحتفالات والمهرجانات,2021
E,5,4,المساهمة في موازنة اتحاد البلديات,2021
E,5,5,رديات,2021
E,5,6,نفقات التأمين,2021
E,5,7,إيفاء القروض,2021
E,5,9,المصاريف الأخرى غير الملحوظة,2021
E,6,1,احتياط الموازنة,2021
I,1,1,رسم على القيمة التأجيرية (سكن),2021
I,1,2,رسم على القيمة التأجيرية (غير سكن),2021
I,1,3,رسم صيانة المجارير والأرصفة,2021
I,1,6,رسم الترخيص للإعلان الدائم والمؤقت,2021
I,1,9,رسم الترخيص للمؤسسات المصنفة,2021
I,1,10,رسم الترخيص باحتراف المهن بالتجول,2021
I,1,11,رسم الترخيص بالبناء,2021
I,1,13,رسم إنفاق في وجوه محددة,2021
I,1,14,رسم تصوينة,2021
I,1,15,رسم الترميم,2021
I,1,16,رسم إنشاء مجارير وأرصفة,2021
I,1,17,رسم المرآب,2021
I,1,19,رسم الإستثمار للإعلان الدائم,2021
I,1,20,رسم الإستثمار للإعلان المؤقت,2021
I,1,25,رسم إستثمار اسبوعي للإعلان خارج دور السينما,2021
I,1,26,الرسم النسبي على المزايدات,2021
I,1,30,رسوم الدخول إلى الأماكن الأثرية والسياحية,2021
I,1,31,رسم تسجيل عقود الإيجار,2021
I,1,33,واردات ناتجة عن أشغال لحساب الغير,2021
I,1,35,رسوم وغرامات تسوية مخالفات البناء,2021
I,1,36,واردات مباشرة غير ملحوظة,2021
I,1,37,غرامات الاعمال غير المنفذة من البناء,2021
I,1,38,رسم المرآب السنوي على المؤسسات السياحية,2021
I,2,1,علاوة على ضريبة الأملاك المبنية النسبية,2021
I,2,2,حصة البلديات من المؤسسة العامة للاسكان,2021
I,2,7,ضريبة التحسين,2021
I,2,8,عائدات أخرى,2021
I,3,1,الحصة العائدة لدعم الموازنة,2021
I,3,2,الحصة المخصصة لدعم مشاريع التنمية,2021
I,4,1,المساعدات,2021
I,4,2,الفوائد,2021
I,4,3,القروض,2021
I,4,4,الهبات والوصايا,2021
I,4,5,الغرامات,2021
I,4,6,حاصلات الأملاك المبنية والمشاعات,2021
I,4,7,النقد المدور,2021
I,4,9,سائر العائدات غير الملحوظة,2021
E,1,1,تعويضات الرئاسة,2022
E,1,2,رواتب الموظفين,2022
E,1,3,بدلات التعاقد,2022
E,1,4,أجور الأجراء,2022
E,1,5,عائدات الجباية والغرامة,2022
E,1,6,المكافآت والتعويضات والتقديمات المختلفة,2022
E,1,7,اللوازم,2022
E,1,8,الملابس,2022
E,1,9,بدلات الإيجار والخدمات المشتركة,2022
E,1,10,المخابرات الهاتفية والبريد والبرق,2022
E,1,11,نفقات إدارية أخرى,2022
E,2,1,التجهيزات,2022
E,2,2,صيانة التجهيزات والآليات,2022
E,2,3,المفروشات,2022
E,2,4,النظافة العامة,2022
E,2,5,صيانة المباني,2022
E,2,6,شراء الآليات,2022
E,2,7,مكافحة الحشرات,2022
E,2,8,لوازم التنظيفات,2022
E,2,9,المحروقات,2022
E,2,10,أجور النقل والانتقال,2022
E,2,11,أجور العمّال اليوميين,2022
E,2,12,بدلات استهلاك الكهرباء,2022
E,2,13,بدلات اشتراك المياه,2022
E,2,14,صيانة الطرق العامة,2022
E,2,15,صيانة شبكات المياه,2022
E,2,16,صيانة شبكات الإنارة العامة,2022
E,3,1,إنشاء المباني,2022
E,3,2,إنشاء شبكات الإنارة العامة,2022
E,3,3,إنشاء شبكات المياه,2022
E,3,4,إنشاء شبكات المجارير,2022
E,3,5,إنشاء الطرق العامة والأرصفة والأقنية,2022
E,3,6,إنشاء الحدائق,2022
E,3,7,إنشاء الملاعب والمسابح,2022
E,3,8,إنشاءات أخرى,2022
E,3,9,نفقات الدروس,2022
E,3,10,تعويضات الإستملاك,2022
E,3,11,شراء الأبنية,2022
E,3,12,شراء العقارات,2022
E,4,1,التخصيصات الصحية,2022
E,4,2,مساعدة المعوزين,2022
E,4,3,مساعدة الأوقاف الخيرية,2022
E,4,4,المساهمة في النشاطات الثقافية,2022
E,4,5,المساهمة في النشاطات التربوية,2022
E,4,6,المساهمة في النشاطات الرياضية,2022
E,4,7,المساهمة في النشاطات الاجتماعية,2022
E,4,8,المنح والجوائز المدرسية,2022
E,4,9,مساعدة المدارس,2022
E,4,10,مساعدة المكتبات,2022
E,4,11,مساعدة الهيئات التي لا تتوخّى الربح,2022
E,4,12,مساهمات إلى القطاع العام,2022
E,5,1,الاستقبالات,2022
E,5,2,الاحتفالات والمهرجانات,2022
E,5,4,المساهمة في موازنة اتحاد البلديات,2022
E,5,5,رديات,2022
E,5,6,نفقات التأمين,2022
E,5,7,إيفاء القروض,2022
E,5,9,المصاريف الأخرى غير الملحوظة,2022
E,6,1,احتياط الموازنة,2022
I,1,1,رسم على القيمة التأجيرية (سكن),2022
I,1,2,رسم على القيمة التأجيرية (غير سكن),2022
I,1,3,رسم صيانة المجارير والأرصفة,2022
I,1,6,رسم الترخيص للإعلان الدائم والمؤقت,2022
I,1,9,رسم الترخيص للمؤسسات المصنفة,2022
I,1,10,رسم الترخيص باحتراف المهن بالتجول,2022
I,1,11,رسم الترخيص بالبناء,2022
I,1,13,رسم إنفاق في وجوه محددة,2022
I,1,14,رسم تصوينة,2022
I,1,15,رسم الترميم,2022
I,1,16,رسم إنشاء مجارير وأرصفة,2022
I,1,17,رسم المرآب,2022
E,1,2,رواتب الموظفين,2012
E,1,3,بدلات التعاقد,2012
E,3,7,إنشاء الملاعب والمسابح,2011
E,3,8,إنشاءات أخرى,2011
E,3,9,نفقات الدروس,2011
E,3,10,تعويضات الإستملاك,2011
E,3,11,شراء الأبنية,2011
E,3,12,شراء العقارات,2011
E,4,1,التخصيصات الصحية,2011
E,4,2,مساعدة المعوزين,2011
E,4,3,مساعدة الأوقاف الخيرية,2011
E,4,4,المساهمة في النشاطات الثقافية,2011
E,4,5,المساهمة في النشاطات التربوية,2011
E,4,6,المساهمة في النشاطات الرياضية,2011
E,4,7,المساهمة في النشاطات الاجتماعية,2011
E,4,8,المنح والجوائز المدرسية,2011
E,4,9,مساعدة المدارس,2011
E,4,10,مساعدة المكتبات,2011
E,4,11,مساعدة الهيئات التي لا تتوخّى الربح,2011
E,4,12,مساهمات إلى القطاع العام,2011
E,5,1,الاستقبالات,2011
E,5,2,الاحتفالات والمهرجانات,2011
E,5,4,المساهمة في موازنة اتحاد البلديات,2011
E,5,5,رديات,2011
E,5,6,نفقات التأمين,2011
E,5,7,إيفاء القروض,2011
E,5,9,المصاريف الأخرى غير الملحوظة,2011
E,6,1,احتياط الموازنة,2011
I,1,1,رسم على القيمة التأجيرية (سكن),2011
I,1,2,رسم على القيمة التأجيرية (غير سكن),2011
I,1,3,رسم صيانة المجارير والأرصفة,2011
I,1,6,رسم الترخيص للإعلان الدائم والمؤقت,2011
I,1,9,رسم الترخيص للمؤسسات المصنفة,2011
I,1,10,رسم الترخيص باحتراف المهن بالتجول,2011
I,1,11,رسم الترخيص بالبناء,2011
I,1,13,رسم إنفاق في وجوه محددة,2011
I,1,14,رسم تصوينة,2011
I,1,15,رسم الترميم,2011
I,1,16,رسم إنشاء مجارير وأرصفة,2011
I,1,17,رسم المرآب,2011
I,1,19,رسم الإستثمار للإعلان الدائم,2011
I,1,20,رسم الإستثمار للإعلان المؤقت,2011
I,1,25,رسم إستثمار اسبوعي للإعلان خارج دور السينما,2011
I,1,26,الرسم النسبي على المزايدات,2011
I,1,30,رسوم الدخول إلى الأماكن الأثرية والسياحية,2011
I,1,31,رسم تسجيل عقود الإيجار,2011
I,1,33,واردات ناتجة عن أشغال لحساب الغير,2011
I,1,35,رسوم وغرامات تسوية مخالفات البناء,2011
I,1,36,واردات مباشرة غير ملحوظة,2011
I,1,37,غرامات الاعمال غير المنفذة من البناء,2011
I,1,38,رسم المرآب السنوي على المؤسسات السياحية,2011
I,2,1,علاوة على ضريبة الأملاك المبنية النسبية,2011
I,2,2,حصة البلديات من المؤسسة العامة للاسكان,2011
I,2,7,ضريبة التحسين,2011
I,2,8,عائدات أخرى,2011
I,3,1,الحصة العائدة لدعم الموازنة,2011
I,3,2,الحصة المخصصة لدعم مشاريع التنمية,2011
I,4,1,المساعدات,2011
I,4,2,الفوائد,2011
I,4,3,القروض,2011
I,4,4,الهبات والوصايا,2011
I,4,5,الغرامات,2011
